"TRANSACTIONCD","DESCRIPTION","CREATUSERID","CREATDT","SHORTDESCRIPTION"
"258","CARES – Return from Lender CARES Forgiveness","","",""
"271","CARES – Return of Lender Fees Paid","","",""
"275","CARES – Debt Relief Payment to Lender","","",""
"276","CARES – Return of Debt Relief Payment from Lender","","",""
"277","CARES – Reissue Returned Payment from Lender","","",""
"315","CARES – Debt Relief Payment","","",""
"435","CARES – Payment to Lender CARES Forgiveness","","",""
"130","RRF - Grant Approval","","",""
"131","RRF - Grant Increase","","",""
"132","RRF - Grant Decrease","","",""
"133","RRF - Grant Reinstatement","","",""
"236","RRF – Grant Disbursement","","",""
"237","RRF – Grant Disbursement Cancellation","","",""
"241","RRF – Grant Reissuance of PY Disbursement in CY","","",""
"383","RRF – Grant Collection – No Reissuance","","",""
"270","CARES – Pay PPP Processing Fee","","",""
"210","monthly ongoing servicing fee","","",""
"461","decrease monthly ongoing service fee","","",""
"470","Establish a CARES Act Sec 1102 fee payable","","",""
